Timestamp,Raw
1729867950.1949933,0
1729867950.1999264,0
1729867950.2089965,0
1729867950.2256453,0
1729867950.2388928,0
1729867950.2559514,0
1729867950.2586508,-897
1729867950.2646616,328
1729867950.2668974,677
1729867950.2689993,-185
1729867950.2711284,-402
1729867950.2732754,-402
1729867950.2753844,-402
1729867950.277494,-402
1729867950.2795887,522
1729867950.2816536,522
1729867950.2837079,522
1729867950.2857654,522
1729867950.2878141,522
1729867950.289915,2047
1729867950.2921915,-1289
1729867950.2943652,-1289
1729867950.2964766,-825
1729867950.2985377,-168
1729867950.3005764,-168
1729867950.3026063,1997
1729867950.3046353,1997
1729867950.306666,1997
1729867950.3086984,-289
1729867950.3107543,-530
1729867950.312817,-530
1729867950.314865,-530
1729867950.316928,-530
1729867950.3189855,-530
1729867950.3210595,-530
1729867950.3231401,-530
1729867950.325195,-530
1729867950.3272486,-530
1729867950.3292847,-530
1729867950.3313189,-530
1729867950.3333519,-530
1729867950.335387,1349
1729867950.337422,1349
1729867950.3394556,1349
1729867950.341498,1349
1729867950.3435538,1093
1729867950.3456283,-438
1729867950.347757,1016
1729867950.3498154,1016
1729867950.3518689,1016
1729867950.3539186,1016
1729867950.3559403,1016
1729867950.3580034,1016
1729867950.360055,1016
1729867950.3621125,1016
1729867950.3641713,1016
1729867950.366259,1016
1729867950.3713133,1016
1729867950.4152374,1898
1729867950.4271922,1898
1729867950.5073955,-1213
1729867950.5107894,965
1729867950.5350037,1757
1729867950.5377638,760
1729867950.5399866,-569
1729867950.5426826,1789
1729867950.5464032,534
1729867950.5486054,-691
1729867950.5585895,693
1729867950.5682268,1177
1729867950.5710802,-422
1729867950.584139,-611
1729867950.5862834,1738
1729867950.5893283,-446
1729867950.5916452,-82
1729867950.5951993,-774
1729867950.5988822,-733
1729867950.6052592,232
1729867950.608969,429
1729867950.611252,408
1729867950.614072,-434
1729867950.6180515,577
1729867950.620483,-985
1729867950.6258686,2026
1729867950.628388,-1577
1729867950.6308634,-657
1729867950.6330352,1975
1729867950.6370924,1975
1729867950.6512144,-358
1729867950.6539216,-951
1729867950.6573865,1113
1729867950.664014,1927
1729867950.6686733,-598
1729867950.670854,-2048
1729867950.6742198,-730
1729867950.6772437,1457
1729867950.6797154,-765
1729867950.6832407,-765
1729867950.6853685,-765
1729867950.6880252,-765
1729867950.6903875,-765
1729867950.6924944,-765
1729867950.6946507,-765
1729867950.6967716,-1945
1729867950.6988413,-2048
1729867950.7009466,1400
1729867950.7030084,1400
1729867950.7050488,1675
1729867950.7071068,1761
1729867950.7092202,2047
1729867950.7113285,2047
1729867950.7134194,1970
1729867950.7154768,1970
1729867950.7175283,1970
1729867950.7195802,1970
1729867950.721627,1970
1729867950.7236698,1970
1729867950.7257242,1970
1729867950.7278352,1970
1729867950.7299695,1449
1729867950.7320838,1449
1729867950.734178,1404
1729867950.7368662,1404
1729867950.741671,1306
1729867950.743792,1211
1729867950.7459214,1170
1729867950.7479856,1131
1729867950.750051,1050
1729867950.7521536,1050
1729867950.7542274,1016
1729867950.7562857,983
1729867950.758348,948
1729867950.760424,876
1729867950.7625053,876
1729867950.7645671,876
1729867950.766619,876
1729867950.768665,876
1729867950.770714,876
1729867950.7727554,876
1729867950.7748353,876
1729867950.7769785,876
1729867950.779026,876
1729867950.781059,876
1729867950.7830899,876
1729867950.7851162,876
1729867950.7871625,849
1729867950.7892137,788
1729867950.7912803,788
1729867950.793344,788
1729867950.7953858,788
1729867950.7974482,788
1729867950.7995145,788
1729867950.8015687,788
1729867950.8036225,759
1729867950.805699,597
1729867950.8078246,468
1729867950.8099377,378
1729867950.812012,378
1729867950.8141341,347
1729867950.8161938,332
1729867950.8182538,312
1729867950.8203146,305
1729867950.8223755,305
1729867950.8244376,294
1729867950.8265092,276
1729867950.828568,276
1729867950.8306212,276
1729867950.832671,276
1729867950.8347566,276
1729867950.8368123,276
1729867950.838869,276
1729867950.8409386,264
1729867950.8430805,264
1729867950.8509953,-1238
1729867950.8531644,-1768
1729867950.8552365,-2048
1729867950.8573003,-2048
1729867950.8593802,-2048
1729867950.8614833,-1462
1729867950.8635397,-2048
1729867950.8655927,-2048
1729867950.8676422,-2048
1729867950.8696942,-2048
1729867950.8717465,-2048
1729867950.8738062,-2048
1729867950.8758743,-2048
1729867950.8779383,-2048
1729867950.880053,460
1729867950.8821332,537
1729867950.8842835,1714
1729867950.8863387,1714
1729867950.8883889,1158
1729867950.8904586,1194
1729867950.892543,1194
1729867950.8945925,1194
1729867950.8966224,1194
1729867950.898664,1194
1729867950.900715,1525
1729867950.9027736,1238
1729867950.9048357,1238
1729867950.9069264,1238
1729867950.9089873,1238
1729867950.9110377,1238
1729867950.9131143,1238
1729867950.9151945,1272
1729867950.9172866,1316
1729867950.9193478,-466
1729867950.9214778,-87
1729867950.9235537,-1573
1729867950.9256275,-650
1729867950.9276857,425
1729867950.9297395,857
1729867950.9318006,857
1729867950.9338522,-2048
1729867950.935922,-314
1729867950.9379785,507
1729867950.9400418,-713
1729867950.9421136,-713
1729867950.944171,-713
1729867950.946225,-713
1729867950.948274,-713
1729867950.9503224,-713
1729867950.9523704,-713
1729867950.9544222,456
1729867950.9566748,456
1729867950.9626575,-647
1729867950.9647539,1641
1729867950.9668093,1552
1729867950.9688606,1816
1729867950.9709198,1733
1729867950.9729357,1733
1729867950.975034,1604
1729867950.9771662,1545
1729867950.9793253,1436
1729867950.981466,1436
1729867950.98363,1332
1729867950.9857566,1291
1729867950.987917,1291
1729867950.9900582,1197
1729867950.9922137,1157
1729867950.9944167,1117
1729867950.9965894,1117
1729867950.9987319,1117
1729867951.0008686,1117
1729867951.0030212,1117
1729867951.0051627,1117
1729867951.0073063,1117
1729867951.009436,1117
1729867951.0115507,1117
1729867951.0136685,1117
1729867951.015812,1077
1729867951.0179698,1077
1729867951.0200977,1077
1729867951.022235,1077
1729867951.0243745,1077
1729867951.0264876,1077
