Timestamp,Raw
1729805582.3587878,0
1729805582.3629243,0
1729805582.3650067,0
1729805582.3670795,0
1729805582.3692665,0
1729805582.3715162,0
1729805582.3744936,0
1729805582.3835533,0
1729805582.3992639,0
1729805582.4140944,0
1729805582.4196677,0
1729805582.4299889,501
1729805582.4329724,188
1729805582.4350896,-70
1729805582.4411688,-29
1729805582.4449513,363
1729805582.4470294,-195
1729805582.4491355,106
1729805582.4511793,-6
1729805582.4532301,-6
1729805582.4553227,-35
1729805582.4574335,-35
1729805582.459519,80
1729805582.4615905,-5
1729805582.4636576,-5
1729805582.4657233,74
1729805582.4677618,74
1729805582.469829,150
1729805582.4719634,69
1729805582.4740717,52
1729805582.476111,52
1729805582.4781566,52
1729805582.4802082,372
1729805582.4822462,372
1729805582.4842796,-114
1729805582.486324,-114
1729805582.4883692,-114
1729805582.4904027,-23
1729805582.492441,-23
1729805582.4944813,-42
1729805582.4965246,-42
1729805582.4985821,-42
1729805582.500662,-589
1729805582.5027597,-589
1729805582.5048292,164
1729805582.5068867,-332
1729805582.508914,-332
1729805582.5109365,233
1729805582.5129604,169
1729805582.5149858,169
1729805582.5170088,212
1729805582.519034,314
1729805582.5210838,-19
1729805582.5231473,-39
1729805582.525191,-39
1729805582.5272279,-305
1729805582.529268,-669
1729805582.5313098,-1079
1729805582.533352,-1079
1729805582.5353968,-550
1729805582.5374522,-550
1729805582.5395124,-232
1729805582.5415833,176
1729805582.5436854,176
1729805582.553787,-170
1729805582.5569708,-170
1729805582.5613837,-170
1729805582.5635774,9
1729805582.6043005,12
1729805582.6274335,-726
1729805582.7081473,-281
1729805582.7107499,-535
1729805582.7134848,-337
1729805582.7323134,68
1729805582.7363274,177
1729805582.7384372,185
1729805582.7408102,244
1729805582.7431045,220
1729805582.7467928,149
1729805582.7488625,89
1729805582.7549772,75
1729805582.7621403,356
1729805582.7727475,315
1729805582.7759664,301
1729805582.7791846,259
1729805582.78125,194
1729805582.7855988,333
1729805582.7887444,313
1729805582.794901,290
1729805582.7970889,170
1729805582.7993228,122
1729805582.801454,113
1729805582.8048975,113
1729805582.8069432,-11
1729805582.8151107,-11
1729805582.8223593,72
1729805582.8252718,244
1729805582.8310995,72
1729805582.835608,29
1729805582.8378923,-83
1729805582.8403656,181
1729805582.8424494,101
1729805582.8507164,-129
1729805582.8529456,228
1729805582.8572423,256
1729805582.8593907,128
1729805582.8619814,128
1729805582.8640964,225
1729805582.8661659,147
1729805582.868222,147
1729805582.870295,229
1729805582.8723533,229
1729805582.8743896,197
1729805582.8764324,133
1729805582.8784862,133
1729805582.8805494,48
1729805582.8826177,48
1729805582.8847146,48
1729805582.8868139,139
1729805582.8888927,120
1729805582.890938,139
1729805582.8929873,139
1729805582.895056,228
1729805582.897145,155
1729805582.8991933,37
1729805582.9018457,37
1729805582.9063373,37
1729805582.9084146,37
1729805582.9104817,37
1729805582.9125764,166
1729805582.914662,166
1729805582.9167163,198
1729805582.9187994,198
1729805582.9209435,50
1729805582.9230325,32
1729805582.9250798,32
1729805582.9271238,32
1729805582.929182,195
1729805582.931266,181
1729805582.9333482,-162
1729805582.935453,-162
1729805582.9375622,-212
1729805582.9396605,-141
1729805582.9417374,-141
1729805582.9438133,253
1729805582.9459126,134
1729805582.948028,134
1729805582.9500916,404
1729805582.9521525,576
1729805582.9542248,115
1729805582.9562902,115
1729805582.9583511,115
